W-000056	1	1. Captura do contexto — Dado que uma jornada de venda inicia, quando os dados de identificação e localização são inseridos, então o sistema captura e repassa ao motor de regras os 4 parâmetros obrigatórios: Mercado/Segmento, Canal, Tipo de Cliente (CPF/CNPJ) e Cidade (código IBGE).
W-000056	2	2. Filtro por zona (IBGE) — Dado que o cliente informou a cidade, quando a elegibilidade local for validada, então o sistema resolve CityIBGECode → AvailabilityZoneCode via GeographicCommercialPolicy e habilita/oculta as ofertas da zona, sem relação direta Oferta×Cidade.
W-000056	3	3. Máximo 4 Rule Sets globais — Dado que as ofertas precisam ser qualificadas, quando o catálogo for parametrizado, então a qualificação usa no máximo 4 conjuntos de regras de contexto globais e reutilizáveis, sem regra individual por oferta.
W-000056	4	4. Sequenciamento — Dado que o cliente navega no funil, quando o catálogo for apresentado, então primeiro listam-se as ofertas qualificadas pelos 4 parâmetros; a viabilidade técnica por endereço só dispara após a escolha da oferta.
W-000056	4b	5. Preço sem duplicação — Dado que a mesma oferta é vendida em B2C e B2B, quando o contexto for identificado, então preços distintos vêm de Price Lists separadas, mantendo o produto unificado no catálogo.
W-000057	1	Cadastro de Lead Residencial em Condomínio — Dado que o operador de vendas insere os dados de um cliente em um endereço sinalizado como condomínio; Quando ele informa o CEP e o Número do imóvel; Então o Salesforce deve exigir o preenchimento obrigatório dos campos "Bloco" e "Apartamento" e derivar automaticamente a "Unidade Operacional" com base no CEP do local.
W-000057	2	Inclusão de Lead PJ com Representante Legal — Dado que o operador seleciona o tipo de documento CNPJ no formulário "Nova Venda"; Quando avança no cadastro sem preencher a Razão Social ou o CPF do Representante Legal; Então o sistema deve bloquear o salvamento e indicar os campos pendentes de preenchimento obrigatório.
W-000058	1	Viabilidade Positiva dentro dos 200m com Reserva de Porta — Dado que o Lead possui CEP e número de imóvel residencial cadastrados; Quando o vendedor aciona a consulta de viabilidade técnica; Então o sistema deve confirmar a viabilidade dentro do limite de 200 metros, efetuar a reserva da porta na CTO e liberar o avanço do Lead.
W-000058	2	Inviabilidade Técnica de Fibra com Oferta Móvel Obrigatória — Dado que a consulta de viabilidade técnica de fibra retornou "Inviável"; Quando o sistema processa o resultado negativo; Então o Salesforce deve apresentar obrigatoriamente a tela de Oferta do Serviço Móvel e bloquear a marcação de perda direta até a decisão do cliente.
W-000059	1	Gatilho da Mesa de Crédito na Tentativa do 3º Contrato sem 1ª Parcela — Dado que o cliente CPF "111.222.333-44" possui 2 contratos ativos no sistema sem confirmação do pagamento da 1ª parcela; Quando o vendedor tenta avançar uma nova solicitação de 3º contrato no Lead; Então o Salesforce deve bloquear a aprovação direta e direcionar o Lead para a fila da "Mesa de Crédito".
W-000059	2	Consulta de Score Parametrizada por Canal de Entrada — Dado que uma proposta é cadastrada com o Canal de Entrada "PAP Terceiro"; Quando a consulta de crédito é disparada; Então o sistema deve avaliar o escore de corte configurado para o canal "PAP Terceiro", independentemente do perfil do usuário que realizou o input.
W-000060	1	Identificação de Débito no Endereço sem Bloqueio de Venda — Dado que o endereço "Rua das Flores, 100, Apto 21" possui histórico de contrato inadimplente na base; Quando o vendedor cadastra uma nova proposta para o mesmo imóvel; Então o sistema deve exibir a sinalização visual de alerta de débito e permitir que a venda prossiga normalmente sem exigir aprovação bloqueante.
W-000060	2	Consolidação em Relatório Gerencial Pós-Venda — Dado que uma venda foi concluída com sucesso em um endereço sinalizado com débito; Quando a Oportunidade/Pedido é salvo; Então o registro deve ser incluído automaticamente no relatório pós-venda "Vendas Concluídas em Endereços Inadimplentes" para análise da gestão.
W-000061	1	Disponibilidade do Botão de Perda até a Assinatura do Contrato — Dado que uma Oportunidade está no estágio de "Análise de Crédito" ou "Aguardando Agendamento"; Quando o cliente desiste da compra antes de assinar o contrato; Então o vendedor deve conseguir acionar o botão de perda e selecionar um motivo da lista exclusiva de Oportunidades.
W-000061	2	Segregação de Motivos entre Lead e Oportunidade — Dado que o operador está encerrando um Lead não convertido; Quando ele abre o campo "Motivo de Perda"; Então o sistema deve exibir apenas os valores configurados para a picklist de Leads, impedindo a seleção de motivos exclusivos de Oportunidades.
W-000062	1	Seleção do Tipo de Negociação ao Criar Oportunidade — Dado que o vendedor está iniciando a criação de uma nova Oportunidade; Quando o formulário é carregado; Então o sistema deve exigir a escolha do tipo de negociação entre "Venda Normal", "Venda Cortesia" ou "Venda Swap".
W-000062	2	Segmentação Automática para B2S por Ticket Médio >= R$ 800,00 — Dado que uma Oportunidade do tipo "Venda Normal" está no carrinho de compras; Quando os produtos são adicionados e o valor total atinge R$ 850,00; Então o Salesforce deve atualizar o campo de segmento automaticamente para "B2S".
W-000063	1	Transferência do Delivery para o Backoffice após 3 Tentativas — Dado que uma Ordem de Serviço de instalação está com a equipe de Delivery; Quando o operador registra a 3ª tentativa de contato sem sucesso com o cliente; Então o Salesforce deve transferir a Ordem de Serviço para a Fila "Backoffice Comercial B2C" e iniciar a contagem do SLA de 72 horas.
